Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Fitness Goals,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag,ZITLAS Original
ZITLAS-REC-0582,ZITLAS Chikoo Curd Bowl,Breakfast,Breakfast,Vegetarian,General Fitness,155,4.6,25.6,5.1,5.3,6,0,Easy,Moderate,No-cook,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0583,ZITLAS Amla Chutney Toast,Breakfast,Breakfast,Vegan,Weight Loss,209,6.1,41.9,2.4,7.1,10,0,Easy,Moderate,Mixer,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0584,ZITLAS Kulith Pithi Bhakri,Breakfast,Breakfast,Vegan,Muscle Gain; Weight Loss,327,14.2,41.7,10.2,7.3,10,10,Moderate,Budget,Tawa,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0585,ZITLAS Gavar Bhaji with Bhakri,Breakfast,Breakfast,Vegan,Weight Loss,387,13.9,54.5,14.6,10.8,10,15,Easy,Budget,Tawa; Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0586,ZITLAS Khandeshi Shev Bhaji Breakfast Bowl,Breakfast,Breakfast,Vegan,General Fitness,262,11.6,33.5,10.1,6.2,10,15,Moderate,Budget,Kadai,No,Yes,Khandesh-inspired,No
ZITLAS-REC-0587,ZITLAS Ukad Rice Dumpling Bowl,Breakfast,Breakfast,Vegan,General Fitness,283,3.9,50.2,6.9,1.9,10,15,Moderate,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0588,ZITLAS Ber Chutney Toast,Breakfast,Breakfast,Vegan,Weight Loss,231,6.1,47.9,2.2,5.1,10,5,Easy,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0589,ZITLAS Fansachi Bhaji Bowl,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,207,4.6,28.5,7.4,3.8,15,18,Moderate,Moderate,Kadai,No,Yes,Konkan-inspired,No
ZITLAS-REC-0590,ZITLAS Sandge Bhaji Breakfast Bowl,Breakfast,Breakfast,Vegan,Muscle Gain; General Fitness,239,12.3,32.2,6.6,8.5,15,15,Moderate,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0591,ZITLAS Roasted Kardai Seed Chutney Toast,Breakfast,Breakfast,Vegan,General Fitness,314,10.3,39.7,13.6,5.2,10,5,Easy,Moderate,Kadai; Mixer,Yes,Yes,Solapur-inspired,No
ZITLAS-REC-0592,ZITLAS Khandeshi Wangi Bharit with Kala Masala,Lunch,Lunch,Vegan,Weight Loss,105,1.6,10.1,7.3,4.4,15,15,Moderate,Budget,Gas stove; Kadai,No,Yes,Khandesh-inspired,No
ZITLAS-REC-0593,ZITLAS Vali Dana Usal Bowl,Lunch,Lunch,Vegan,Weight Loss,195,8.7,25.5,6.5,6.5,10,15,Easy,Moderate,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0594,ZITLAS Kakadi Chi Koshimbir Bowl,Lunch,Lunch,Vegan,Weight Loss,143,7.0,9.2,10.0,4.1,8,0,Easy,Budget,No-cook,Yes,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0595,ZITLAS Gavar Usal Bowl,Lunch,Lunch,Vegan,Weight Loss,266,15.2,38.1,6.8,12.6,10,15,Easy,Budget,Kadai,No,Yes,Maharashtrian-inspired,No
ZITLAS-REC-0596,ZITLAS Custard Apple and Paneer Bowl,Lunch,Lunch,Vegetarian,Muscle Gain,253,12.4,24.3,12.3,4.4,10,0,Easy,Premium,No-cook,No,Yes,Marathwada-inspired,No
