Recipe ID,Recipe Name,Category,Meal Type,Diet Type,Primary Goal,Calories,Protein,Carbohydrates,Fat,Fiber,Prep Time,Cook Time,Difficulty,Cost Level,Equipment,Hostel Friendly,Home Friendly,Regional Tag
ZITLAS-REC-0001,ZITLAS Protein Crunch Upma,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,25,35,9,4,15,10,Moderate,Budget,Kadai,No,Yes,
ZITLAS-REC-0002,ZITLAS Protein Crunch Poha,Breakfast,Breakfast,Eggetarian,Muscle Gain,260,18.0,35,9,4,15,10,Moderate,Budget,Kadai,No,Yes,
ZITLAS-REC-0003,ZITLAS Protein Crunch Dosa Batter,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,20.5,35,9,4,15,10,Moderate,Budget,Tawa,No,Yes,South Indian-inspired
ZITLAS-REC-0004,ZITLAS Protein Crunch Moong Dosa,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,12.8,35,9,4,15,10,Moderate,Budget,Tawa,No,Yes,South Indian-inspired
ZITLAS-REC-0005,ZITLAS Protein Crunch Paratha,Breakfast,Breakfast,Eggetarian,Muscle Gain,260,19.1,35,9,4,15,10,Moderate,Budget,Tawa,No,Yes,Punjabi-inspired
ZITLAS-REC-0006,ZITLAS Protein Crunch Thepla,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,18.1,35,9,4,15,10,Moderate,Budget,Tawa,No,Yes,Gujarati-inspired
ZITLAS-REC-0007,ZITLAS Protein Crunch Oats,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,14.8,35,9,4,15,10,Moderate,Budget,Induction/Gas stove,No,Yes,
ZITLAS-REC-0008,ZITLAS Protein Crunch Dalia,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,28.6,35,9,4,15,10,Moderate,Budget,Pressure cooker,No,Yes,
ZITLAS-REC-0009,ZITLAS Protein Crunch Besan Chilla,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,18.1,35,9,4,15,10,Moderate,Budget,Tawa,No,Yes,
ZITLAS-REC-0010,ZITLAS Protein Crunch Sprouts Bowl,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,20,35,9,4,15,10,Moderate,Budget,No-cook,Yes,Yes,
ZITLAS-REC-0011,ZITLAS Protein Crunch Egg,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,25,12,9,4,15,10,Moderate,Budget,Tawa,No,Yes,
ZITLAS-REC-0012,ZITLAS Protein Crunch Sandwich,Breakfast,Breakfast,Eggetarian,Muscle Gain,260,18.0,35,9,4,15,10,Moderate,Budget,Tawa/Sandwich press,No,Yes,
ZITLAS-REC-0013,ZITLAS Protein Crunch Smoothie Bowl,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,20.5,35,9,4,15,10,Moderate,Budget,Mixer,No,Yes,
ZITLAS-REC-0014,ZITLAS Protein Crunch Dhokla,Breakfast,Breakfast,Vegetarian,Muscle Gain,260,12.8,35,9,4,15,10,Moderate,Budget,Steamer/Pressure cooker,No,Yes,Gujarati-inspired
ZITLAS-REC-0015,ZITLAS Protein Crunch Overnight Oats,Breakfast,Breakfast,Eggetarian,Muscle Gain,260,19.1,35,9,4,15,10,Moderate,Budget,No-cook,Yes,Yes,
ZITLAS-REC-0016,ZITLAS Fiber Power Upma,Breakfast,Breakfast,Vegetarian,Weight Loss; General Fitness,260,18.1,35,9,5,15,10,Moderate,Budget,Kadai,No,Yes,
ZITLAS-REC-0017,ZITLAS Fiber Power Poha,Breakfast,Breakfast,Vegetarian,Weight Loss; General Fitness,260,14.8,35,9,5,15,10,Moderate,Budget,Kadai,No,Yes,
